FlowCell Text Data File: 250529-2-B1.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-05-29
Time: 22:51:12
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 859429
Source A Zero: 226164.7

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
525480.258, 224619.597, 0.00, 1.091687, , 
526632.613, 224619.597, 0.20, 1.086757, , 
527112.548, 224496.887, 0.30, 1.083478, , 
527091.984, 224423.113, 0.40, 1.082826, , 
527346.677, 224436.258, 0.50, 1.081870, , 
527479.000, 224440.226, 0.60, 1.081346, , 
527369.177, 224438.016, 0.70, 1.081792, , 
527585.468, 224511.694, 0.80, 1.081608, , 
527639.403, 224581.742, 0.90, 1.082080, , 
527019.065, 224389.661, 1.00, 1.082802, , 
526896.484, 224346.161, 1.09, 1.082889, , 
527478.694, 224345.161, 1.20, 1.080394, , 
527437.048, 224324.790, 1.29, 1.080367, , 
527749.919, 224391.774, 1.39, 1.079704, , 
527367.452, 224376.435, 1.49, 1.081182, , 
527548.355, 224423.823, 1.59, 1.080885, , 
527330.210, 224422.774, 1.69, 1.081806, , 
526625.339, 224290.903, 1.79, 1.083493, , 
527480.839, 224371.194, 1.89, 1.080646, , 
527678.565, 224508.597, 1.99, 1.081180, , 
528515.371, 224642.339, 2.09, 1.078954, , 
528099.887, 224576.032, 2.19, 1.080060, , 
528264.952, 224526.016, 2.29, 1.078855, , 
527589.274, 224481.258, 2.39, 1.081287, , 
527358.371, 224493.823, 2.49, 1.082398, , 
526457.806, 224482.435, 2.59, 1.086130, , 
507476.694, 224404.581, 2.69, 1.167986, , 
46063.952, 223458.500, 2.79, 6.558218, , 
9223.113, 223457.532, 2.89, 10.177624, , 
