FlowCell Text Data File: 250529-3-C1.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-05-29
Time: 23:02:23
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 859429
Source A Zero: 226164.7

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
531911.806, 224715.677, 0.00, 1.065273, , 
536034.726, 224715.677, 0.20, 1.047897, , 
539848.790, 224715.677, 0.30, 1.031941, , 
540060.790, 224784.210, 0.40, 1.031743, , 
542087.097, 224843.565, 0.50, 1.023910, , 
538591.081, 224767.839, 0.60, 1.037712, , 
538714.548, 224758.581, 0.70, 1.037104, , 
536813.758, 224729.484, 0.79, 1.044767, , 
538730.371, 224796.274, 0.90, 1.037415, , 
541654.387, 224728.548, 1.00, 1.024555, , 
540223.855, 224677.613, 1.09, 1.029997, , 
539604.726, 224601.194, 1.19, 1.031812, , 
539305.790, 224678.452, 1.29, 1.033833, , 
539124.226, 224632.452, 1.39, 1.034130, , 
538228.419, 224671.258, 1.49, 1.038261, , 
540476.323, 224646.726, 1.59, 1.028636, , 
539697.710, 224643.516, 1.69, 1.031848, , 
539286.258, 224641.597, 1.79, 1.033545, , 
538486.500, 224723.968, 1.89, 1.037710, , 
537700.597, 224757.968, 1.99, 1.041337, , 
535605.500, 224757.581, 2.09, 1.050119, , 
536032.790, 224750.242, 2.19, 1.048251, , 
538630.903, 224715.645, 2.29, 1.037023, , 
536849.839, 224707.081, 2.39, 1.044391, , 
535166.048, 224596.871, 2.49, 1.050356, , 
533244.387, 224534.226, 2.59, 1.057824, , 
534845.306, 224655.500, 2.69, 1.052293, , 
492609.919, 224531.581, 2.79, 1.236172, , 
440729.677, 224405.081, 2.89, 1.485345, , 
9258.355, 223821.274, 2.99, 10.172702, , 
8160.306, 223842.516, 3.08, 10.457021, , 
8130.500, 223866.226, 3.19, 10.465494, , 
7987.032, 223716.306, 3.28, 10.504052, , 
7894.919, 223779.823, 3.38, 10.530795, , 
7886.887, 223627.290, 3.48, 10.531552, , 
7916.339, 223694.194, 3.58, 10.523837, , 
7944.758, 223726.097, 3.68, 10.516093, , 
8012.177, 223835.790, 3.78, 10.498180, , 
8087.903, 223865.952, 3.88, 10.477313, , 
8185.468, 223779.355, 3.98, 10.449458, , 
8342.210, 223865.258, 4.08, 10.407636, , 
8450.210, 223838.919, 4.18, 10.378423, , 
8625.823, 223766.581, 4.28, 10.331407, , 
8871.532, 223826.726, 4.38, 10.268803, , 
9147.903, 223782.452, 4.48, 10.199321, , 
9557.532, 223806.194, 4.58, 10.100979, , 
10036.823, 223788.500, 4.68, 9.990685, , 
10243.645, 223849.548, 4.78, 9.945397, , 
10875.903, 223866.452, 4.88, 9.810784, , 
12660.661, 223823.516, 4.98, 9.468398, , 
14796.629, 223817.339, 5.07, 9.117494, , 
16876.274, 223749.565, 5.17, 8.820859, , 
19075.565, 223707.839, 5.27, 8.544762, , 
21221.435, 223738.387, 5.37, 8.305165, , 
24509.597, 223723.500, 5.47, 7.980834, , 
28714.210, 223640.048, 5.57, 7.623688, , 
32975.952, 223635.742, 5.67, 7.312215, 1, 0.794
38077.419, 223733.839, 5.77, 6.989493, , 
44281.726, 223687.565, 5.87, 6.649323, , 
50849.694, 223749.468, 5.97, 6.338706, , 
57809.258, 223706.565, 6.07, 6.049600, , 
65321.403, 223685.419, 6.17, 5.774450, , 
73419.081, 223594.726, 6.27, 5.510542, , 
82055.855, 223570.677, 6.37, 5.260015, , 
91119.806, 223592.306, 6.47, 5.024443, , 
101412.597, 223554.694, 6.57, 4.783218, , 
111504.887, 223527.161, 6.67, 4.569440, , 
122374.968, 223583.355, 6.77, 4.360667, , 
133546.032, 223680.581, 6.87, 4.165055, , 
145550.565, 223708.516, 6.96, 3.971625, , 
158269.145, 223685.177, 7.06, 3.782863, , 
170500.758, 223685.177, 7.17, 3.615335, , 
183587.710, 223685.177, 7.26, 3.448909, , 
196651.726, 223685.177, 7.37, 3.294210, , 
210847.597, 223685.177, 7.46, 3.137352, , 
224383.790, 223693.032, 7.56, 2.997403, , 
238627.484, 223831.597, 7.66, 2.860292, , 
251948.968, 223807.710, 7.76, 2.737802, , 
265682.613, 223722.823, 7.86, 2.617504, , 
278852.468, 223799.919, 7.96, 2.509403, , 
291223.145, 223746.565, 8.06, 2.411182, , 
304084.855, 223858.145, 8.16, 2.315047, , 
316499.581, 223874.726, 8.26, 2.225162, , 
328022.565, 223901.129, 8.36, 2.144950, , 
340487.742, 223887.500, 8.46, 2.060880, , 
352817.339, 223779.048, 8.56, 1.979738, , 
364805.145, 223815.258, 8.66, 1.904909, , 
375997.645, 223826.323, 8.76, 1.837013, , 
388377.000, 223939.258, 8.86, 1.765248, , 
398386.774, 223998.210, 8.96, 1.708574, , 
408150.306, 223963.661, 9.06, 1.653739, , 
417639.694, 223976.274, 9.16, 1.602143, , 
427018.742, 224043.532, 9.25, 1.552839, , 
434069.081, 223976.726, 9.35, 1.515315, , 
441143.903, 223972.065, 9.45, 1.478885, , 
446877.726, 223950.016, 9.55, 1.449601, , 
451366.952, 223947.597, 9.65, 1.427082, , 
454364.323, 223877.355, 9.75, 1.411482, , 
456706.306, 223987.968, 9.85, 1.401023, , 
457318.419, 223970.032, 9.95, 1.397829, , 
456567.129, 223869.081, 10.05, 1.400514, , 
455399.274, 223914.323, 10.15, 1.406733, , 
453464.032, 224061.855, 10.25, 1.417799, , 
450913.952, 223980.323, 10.35, 1.429671, , 
448011.710, 223961.661, 10.45, 1.444015, , 
445127.790, 223915.468, 10.55, 1.458084, , 
443198.984, 223882.823, 10.65, 1.467528, , 
442207.419, 223940.484, 10.75, 1.473148, , 
441222.935, 223796.081, 10.85, 1.476713, , 
441117.645, 223932.516, 10.95, 1.478621, , 
441930.016, 223950.855, 11.05, 1.474665, , 
442663.984, 223924.419, 11.15, 1.470665, , 
443967.516, 224019.710, 11.25, 1.465005, 2, 0.795
446095.871, 223916.532, 11.34, 1.453206, , 
448472.581, 223949.452, 11.45, 1.441578, , 
451693.677, 224049.145, 11.54, 1.426474, , 
455138.855, 224034.323, 11.64, 1.409226, , 
459174.323, 224034.032, 11.74, 1.389358, , 
462615.694, 223963.677, 11.84, 1.371847, , 
465987.516, 223918.806, 11.94, 1.355053, , 
469643.468, 224021.274, 12.04, 1.338496, , 
472766.855, 224041.129, 12.14, 1.323778, , 
475769.839, 223977.371, 12.24, 1.308888, , 
478513.694, 224120.194, 12.34, 1.297381, , 
481089.371, 224123.258, 12.44, 1.285331, , 
482498.452, 224123.194, 12.54, 1.278749, , 
483671.742, 223980.952, 12.64, 1.271854, , 
484682.500, 223980.952, 12.74, 1.267156, , 
485490.097, 223980.952, 12.84, 1.263410, , 
485418.129, 223980.952, 12.94, 1.263743, , 
485633.129, 223980.952, 13.04, 1.262747, , 
484404.710, 223980.952, 13.14, 1.268447, , 
483483.613, 223999.032, 13.24, 1.272912, , 
481759.887, 224029.145, 13.33, 1.281252, , 
479182.629, 224048.677, 13.43, 1.293519, , 
475961.742, 223968.774, 13.53, 1.307894, , 
471834.032, 223972.145, 13.63, 1.327530, , 
466982.742, 223915.806, 13.73, 1.350222, , 
461298.629, 223929.290, 13.83, 1.377918, , 
455284.065, 223942.500, 13.93, 1.407585, , 
448668.774, 223803.339, 14.03, 1.439125, , 
442229.790, 223933.694, 14.13, 1.472966, , 
436538.774, 224122.694, 14.23, 1.504014, , 
430409.258, 224019.952, 14.33, 1.534804, , 
425054.210, 224059.387, 14.43, 1.563376, , 
420130.565, 223906.726, 14.53, 1.588062, , 
416642.806, 224093.629, 14.63, 1.608700, , 
413464.242, 224068.081, 14.73, 1.625678, , 
411099.726, 224165.823, 14.83, 1.639566, , 
409498.952, 224211.290, 14.93, 1.648802, , 
408299.419, 224077.113, 15.03, 1.654057, , 
408301.500, 224017.452, 15.13, 1.653446, , 
408993.323, 224042.806, 15.23, 1.649891, , 
409794.548, 224070.290, 15.33, 1.645763, , 
411715.065, 224036.081, 15.43, 1.634897, , 
414453.806, 224170.097, 15.52, 1.621322, , 
416617.919, 224117.952, 15.62, 1.609079, , 
419646.694, 224075.387, 15.72, 1.592350, , 
423525.435, 224078.403, 15.82, 1.571675, , 
427349.645, 224239.290, 15.92, 1.553061, , 
431103.952, 224217.306, 16.02, 1.533157, , 
436044.597, 224168.113, 16.12, 1.507019, , 
438885.403, 224161.581, 16.22, 1.492339, , 
442735.790, 224196.161, 16.32, 1.473029, , 
446627.790, 224165.484, 16.42, 1.453024, , 
450689.710, 224238.887, 16.52, 1.433387, , 
453398.613, 224167.210, 16.62, 1.419181, , 
455850.161, 224125.694, 16.72, 1.406629, , 
458170.274, 224056.871, 16.82, 1.394513, 3, 0.795
459966.952, 224001.952, 16.92, 1.385154, , 
461863.081, 224052.855, 17.02, 1.376407, , 
463055.290, 224073.919, 17.12, 1.370817, , 
464293.468, 224131.774, 17.22, 1.365389, , 
465022.097, 224102.984, 17.32, 1.361571, , 
466826.661, 224128.839, 17.41, 1.353114, , 
468259.952, 224231.774, 17.51, 1.347249, , 
469100.371, 224134.597, 17.61, 1.342238, , 
470657.113, 223984.000, 17.71, 1.333269, , 
473047.790, 224062.290, 17.81, 1.322654, , 
476012.597, 224167.790, 17.91, 1.309653, , 
478839.694, 224223.290, 18.01, 1.296884, , 
482479.548, 224244.323, 18.11, 1.280053, , 
485489.306, 224144.435, 18.21, 1.265055, , 
489879.081, 224144.435, 18.31, 1.244799, , 
494889.065, 224144.435, 18.41, 1.221900, , 
498939.516, 224144.435, 18.51, 1.203556, , 
503303.290, 224144.435, 18.61, 1.183959, , 
508130.694, 224144.435, 18.71, 1.162477, , 
512752.645, 224325.145, 18.81, 1.143914, , 
516448.323, 224343.935, 18.91, 1.127940, , 
520077.548, 224470.339, 19.01, 1.113449, , 
522282.823, 224399.597, 19.11, 1.103217, , 
524768.081, 224458.887, 19.21, 1.093128, , 
526736.710, 224507.919, 19.31, 1.085193, , 
526738.048, 224488.935, 19.41, 1.084997, , 
526385.258, 224501.968, 19.51, 1.086636, , 
524799.339, 224474.806, 19.61, 1.093154, , 
522696.226, 224450.968, 19.71, 1.101952, , 
519624.532, 224512.226, 19.81, 1.115830, , 
515687.726, 224422.177, 19.90, 1.132042, , 
511115.790, 224420.726, 20.01, 1.152068, , 
506563.516, 224491.032, 20.10, 1.172906, , 
501659.806, 224378.419, 20.20, 1.193668, , 
497764.629, 224378.661, 20.30, 1.211212, , 
493440.919, 224303.194, 20.40, 1.230089, , 
490502.226, 224360.000, 20.50, 1.244101, , 
488116.774, 224319.387, 20.60, 1.254665, , 
486732.242, 224360.935, 20.70, 1.261474, , 
486757.565, 224451.258, 20.80, 1.262263, , 
486966.855, 224303.597, 20.90, 1.259814, , 
488534.613, 224398.210, 21.00, 1.253530, , 
490190.645, 224367.839, 21.10, 1.245610, , 
494029.306, 224497.613, 21.20, 1.229356, , 
497167.677, 224416.694, 21.30, 1.214294, , 
501603.355, 224473.161, 21.40, 1.194871, , 
505702.726, 224450.758, 21.50, 1.176330, , 
511607.694, 224519.000, 21.60, 1.150888, , 
517165.113, 224517.145, 21.70, 1.126556, , 
523432.839, 224596.129, 21.79, 1.100237, , 
529194.306, 224541.161, 21.90, 1.075051, , 
535322.323, 224541.742, 22.00, 1.049147, , 
541967.935, 224496.548, 22.10, 1.020928, , 
549673.790, 224654.065, 22.19, 0.990735, , 
556216.177, 224694.516, 22.29, 0.964513, , 
562415.323, 224709.258, 22.39, 0.939718, 4, 0.795
569365.887, 224672.774, 22.49, 0.911711, , 
575942.113, 224771.242, 22.59, 0.886853, , 
582218.403, 224630.194, 22.69, 0.861049, , 
588705.516, 224671.387, 22.79, 0.836526, , 
594314.694, 224699.000, 22.89, 0.815462, , 
599517.242, 224841.661, 22.99, 0.797276, , 
604129.726, 224769.532, 23.09, 0.779306, , 
607884.613, 224762.710, 23.19, 0.765294, , 
611291.887, 224788.726, 23.29, 0.752976, , 
612948.210, 224735.613, 23.39, 0.746354, , 
614705.065, 224685.548, 23.49, 0.739412, , 
615521.097, 224838.710, 23.59, 0.737960, , 
615828.306, 224862.177, 23.69, 0.737072, , 
615231.000, 224930.742, 23.79, 0.739942, , 
613072.839, 224867.855, 23.88, 0.747221, , 
609048.597, 224907.387, 23.98, 0.762437, , 
604671.677, 224907.387, 24.08, 0.778668, , 
597978.177, 224907.387, 24.18, 0.803719, , 
589957.661, 224907.387, 24.28, 0.834107, , 
579963.839, 224940.113, 24.38, 0.872884, , 
568894.597, 225006.790, 24.48, 0.916918, , 
554967.661, 224951.935, 24.58, 0.972147, , 
538435.548, 224878.903, 24.68, 1.039474, , 
520310.565, 224753.919, 24.78, 1.115282, , 
