FlowCell Text Data File: 250529-5-E1.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-05-29
Time: 23:23:46
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 859429
Source A Zero: 226164.7

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
579196.952, 224662.000, 0.00, 0.873077, , 
576210.371, 224788.113, 0.20, 0.885974, , 
574164.677, 224697.774, 0.30, 0.893073, , 
572900.935, 224782.887, 0.40, 0.898884, , 
571214.306, 224696.661, 0.50, 0.904656, , 
569941.403, 224719.903, 0.60, 0.909909, , 
568669.500, 224574.065, 0.70, 0.913476, , 
566669.984, 224624.597, 0.80, 0.921909, , 
564679.758, 224654.790, 0.90, 0.930129, , 
564403.839, 224648.468, 1.00, 0.931166, , 
563150.871, 224534.435, 1.10, 0.935025, , 
561115.210, 224591.274, 1.20, 0.943744, , 
559145.694, 224586.452, 1.29, 0.951609, , 
557259.855, 224533.984, 1.39, 0.958686, , 
549050.823, 224464.097, 1.50, 0.991383, , 
552006.790, 224522.387, 1.59, 0.979884, , 
545154.113, 224606.532, 1.70, 1.008839, , 
545606.516, 224700.661, 1.79, 1.007916, , 
545352.758, 224598.113, 1.89, 1.007935, , 
543859.565, 224531.097, 1.99, 1.013434, , 
543439.823, 224552.452, 2.09, 1.015385, , 
542689.161, 224486.258, 2.19, 1.017833, , 
542496.919, 224516.774, 2.29, 1.018936, , 
541166.758, 224573.968, 2.39, 1.025034, , 
539833.210, 224542.371, 2.49, 1.030269, , 
