FlowCell Text Data File: 250529-blank.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-05-29
Time: 22:10:42
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 859429
Source A Zero: 226164.7

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
506685.258, 224719.145, 0.00, 1.174651, , 
507134.742, 224719.145, 0.20, 1.172655, , 
507306.887, 224719.145, 0.30, 1.171892, , 
507284.613, 224705.806, 0.40, 1.171857, , 
507221.629, 224662.016, 0.50, 1.171698, , 
506999.597, 224565.871, 0.60, 1.171720, , 
507189.323, 224642.661, 0.70, 1.171647, , 
507382.806, 224688.339, 0.80, 1.171246, , 
507517.919, 224732.081, 0.90, 1.171085, , 
507611.871, 224692.065, 1.00, 1.170268, , 
507805.097, 224675.968, 1.10, 1.169250, , 
507934.629, 224675.177, 1.20, 1.168668, , 
508099.387, 224690.403, 1.29, 1.168091, , 
506216.645, 224650.871, 1.39, 1.176049, , 
593483.339, 224488.355, 1.50, 0.816502, , 
814406.952, 224766.887, 1.59, 0.107140, , 
809488.081, 224823.000, 1.69, 0.121335, , 
809849.742, 224870.435, 1.79, 0.120804, , 
810979.468, 224858.726, 1.89, 0.117550, , 
811608.258, 224771.242, 1.99, 0.114930, , 
815411.903, 224742.839, 2.09, 0.104123, , 
820214.742, 224701.565, 2.19, 0.090494, , 
823044.823, 224724.758, 2.29, 0.082974, , 
823429.226, 224791.726, 2.39, 0.082594, , 
823878.726, 224759.581, 2.49, 0.081044, , 
829129.855, 224786.274, 2.59, 0.067013, , 
833065.935, 224713.516, 2.69, 0.055627, , 
833493.968, 224730.145, 2.79, 0.054637, , 
834505.516, 224717.097, 2.89, 0.051777, , 
835091.065, 224597.984, 2.99, 0.049005, , 
835021.016, 224472.645, 3.09, 0.047938, , 
836859.323, 224559.452, 3.19, 0.043859, , 
837617.903, 224541.806, 3.29, 0.041643, , 
838508.548, 224593.323, 3.38, 0.039768, , 
839154.952, 224616.839, 3.48, 0.038269, , 
839345.048, 224543.548, 3.58, 0.037025, , 
839737.129, 224660.548, 3.68, 0.037147, , 
838387.677, 224637.452, 3.78, 0.040535, , 
839920.597, 224548.548, 3.88, 0.035533, , 
840944.532, 224617.581, 3.98, 0.033483, , 
840859.871, 224608.484, 4.08, 0.033618, , 
840677.565, 224617.581, 4.18, 0.034197, , 
