FlowCell Text Data File: 250601-1-A2.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-06-01
Time: 20:04:37
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 551199
Source A Zero: 228011.0

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
542901.500, 227393.855, 0.00, 0.028037, , 
542696.113, 227301.016, 0.20, 0.027969, , 
542872.677, 227382.210, 0.30, 0.028041, , 
542731.323, 227323.000, 0.40, 0.028041, , 
542486.452, 227223.500, 0.50, 0.028071, , 
542385.161, 227182.081, 0.59, 0.028081, , 
542459.645, 227212.290, 0.70, 0.028071, , 
542451.081, 227210.790, 0.80, 0.028092, , 
542289.113, 227140.274, 0.90, 0.028066, , 
542131.806, 227075.323, 1.00, 0.028075, , 
542069.274, 227051.371, 1.09, 0.028097, , 
542012.145, 227025.710, 1.19, 0.028080, , 
542026.710, 227031.855, 1.29, 0.028080, , 
542045.952, 227040.806, 1.39, 0.028089, , 
541995.226, 227018.613, 1.49, 0.028080, , 
542191.968, 227099.597, 1.59, 0.028066, , 
542011.532, 227024.516, 1.70, 0.028071, , 
541941.274, 226998.032, 1.79, 0.028100, , 
542131.129, 227072.645, 1.89, 0.028051, , 
541969.000, 227000.032, 1.99, 0.028005, , 
542203.565, 227099.016, 2.09, 0.028012, , 
541982.097, 227001.597, 2.19, 0.027966, , 
541942.774, 226985.726, 2.29, 0.027972, , 
541275.726, 226706.032, 2.39, 0.027969, , 
541378.839, 226751.419, 2.49, 0.027990, , 
541638.968, 226860.661, 2.58, 0.027993, , 
541601.097, 226836.903, 2.69, 0.027915, , 
541676.210, 226870.065, 2.79, 0.027932, , 
541801.194, 226921.806, 2.88, 0.027926, , 
541775.919, 226893.742, 2.99, 0.027752, , 
538881.113, 226835.855, 3.08, 0.039235, , 
419517.210, 226495.016, 3.18, 0.599338, , 
42530.952, 225797.677, 3.28, 5.743359, , 
46256.823, 225767.613, 3.38, 5.554074, , 
46123.290, 225703.468, 3.48, 5.559941, , 
45851.097, 225674.065, 3.58, 5.572968, , 
45615.306, 225667.500, 3.68, 5.584505, , 
45403.419, 225593.403, 3.78, 5.594244, , 
45145.839, 225549.677, 3.88, 5.606611, , 
44880.548, 225584.952, 3.98, 5.620226, , 
44649.968, 225714.532, 4.08, 5.633110, , 
44346.210, 225737.935, 4.18, 5.648706, , 
44028.419, 225668.210, 4.28, 5.664196, , 
43593.774, 225668.581, 4.38, 5.686526, , 
43127.726, 225566.435, 4.48, 5.709695, , 
42615.177, 225548.823, 4.57, 5.736425, , 
42115.984, 225542.403, 4.68, 5.762878, , 
41626.645, 225510.048, 4.77, 5.788856, , 
41289.516, 225570.387, 4.87, 5.807758, , 
40963.919, 225489.726, 4.97, 5.824770, , 
40935.839, 225545.919, 5.07, 5.826874, , 
40900.129, 225441.048, 5.17, 5.827791, , 
40694.677, 225441.306, 5.27, 5.839127, , 
40370.532, 225459.871, 5.37, 5.857309, , 
39952.113, 225471.258, 5.47, 5.880869, , 
39488.468, 225385.355, 5.57, 5.906280, , 
39189.581, 225380.968, 5.67, 5.923335, 1, 0.794
39072.710, 225409.629, 5.77, 5.930342, , 
39123.339, 225505.290, 5.87, 5.928383, , 
39370.613, 225433.210, 5.97, 5.913485, , 
39903.726, 225511.613, 6.07, 5.883999, , 
40657.500, 225454.032, 6.17, 5.841310, , 
41678.968, 225449.871, 6.27, 5.785428, , 
42913.984, 225378.355, 6.37, 5.718999, , 
44473.661, 225409.565, 6.47, 5.638971, , 
46372.790, 225364.661, 6.57, 5.544419, , 
48341.500, 225437.968, 6.67, 5.451584, , 
50590.226, 225371.355, 6.76, 5.348596, , 
53234.355, 225283.887, 6.86, 5.233073, , 
56159.194, 225339.726, 6.96, 5.113263, , 
59216.000, 225345.113, 7.06, 4.994040, , 
62460.323, 225345.113, 7.16, 4.874003, , 
66393.532, 225345.113, 7.27, 4.736573, , 
70477.742, 225345.113, 7.36, 4.602228, , 
75211.161, 225345.113, 7.46, 4.455943, , 
79725.790, 225345.113, 7.56, 4.324758, , 
84884.226, 225402.355, 7.66, 4.184238, , 
90808.952, 225506.774, 7.76, 4.033444, , 
97592.097, 225421.726, 7.86, 3.870477, , 
103871.806, 225379.500, 7.96, 3.729716, , 
110422.726, 225436.274, 8.06, 3.592650, , 
118630.129, 225355.387, 8.16, 3.430498, , 
126850.403, 225450.403, 8.26, 3.280672, , 
135661.581, 225349.484, 8.36, 3.128537, , 
144968.097, 225465.532, 8.46, 2.980378, , 
155138.726, 225532.000, 8.56, 2.828449, , 
165198.242, 225508.290, 8.66, 2.686825, , 
175681.403, 225381.323, 8.76, 2.547097, , 
187924.468, 225486.726, 8.86, 2.396542, , 
198951.242, 225390.339, 8.96, 2.267261, , 
210340.210, 225449.016, 9.06, 2.142573, , 
222750.597, 225367.452, 9.15, 2.012749, , 
235045.581, 225303.774, 9.25, 1.891205, , 
248042.694, 225269.145, 9.35, 1.769737, , 
259779.871, 225263.581, 9.45, 1.665636, , 
271753.452, 225270.613, 9.55, 1.564300, , 
285249.952, 225270.823, 9.65, 1.455222, , 
298366.258, 225306.516, 9.75, 1.354408, , 
308188.726, 225314.677, 9.85, 1.281597, , 
319587.452, 225348.887, 9.95, 1.200206, , 
330499.581, 225293.597, 10.05, 1.124096, , 
342334.694, 225374.258, 10.15, 1.045724, , 
353697.242, 225339.984, 10.25, 0.971899, , 
366183.855, 225328.500, 10.35, 0.893708, , 
376353.839, 225326.323, 10.45, 0.832037, , 
387234.323, 225437.274, 10.55, 0.769007, , 
399077.645, 225386.968, 10.65, 0.700708, , 
410494.581, 225475.129, 10.75, 0.638111, , 
420680.194, 225402.500, 10.85, 0.582227, , 
429571.435, 225512.742, 10.95, 0.536259, , 
441048.306, 225451.694, 11.05, 0.476314, , 
450392.581, 225468.161, 11.14, 0.429298, , 
461477.065, 225545.710, 11.25, 0.375357, 2, 0.795
470630.968, 225553.952, 11.34, 0.331237, , 
480054.694, 225545.613, 11.44, 0.286537, , 
488897.952, 225531.323, 11.54, 0.245315, , 
498498.242, 225622.323, 11.64, 0.202461, , 
507680.742, 225613.726, 11.74, 0.161298, , 
515301.306, 225702.274, 11.84, 0.128652, , 
522054.694, 225659.726, 11.94, 0.098926, , 
528787.145, 225570.790, 12.04, 0.069203, , 
535130.387, 225601.532, 12.14, 0.042674, , 
542595.887, 225569.613, 12.24, 0.011177, , 
547548.129, 225605.339, 12.34, -0.008913, , 
553049.371, 225535.887, 12.44, -0.032103, , 
557356.081, 225589.161, 12.54, -0.049028, , 
562922.710, 225560.452, 12.64, -0.071680, , 
565929.065, 225560.452, 12.74, -0.083666, , 
569843.645, 225560.452, 12.84, -0.099179, , 
572990.210, 225560.452, 12.94, -0.111571, , 
575314.694, 225560.452, 13.04, -0.120682, , 
578453.435, 225560.452, 13.14, -0.132927, , 
580204.032, 225707.500, 13.24, -0.138260, , 
582073.210, 225669.194, 13.34, -0.145881, , 
582891.435, 225664.984, 13.44, -0.149084, , 
584735.226, 225602.000, 13.54, -0.156819, , 
585717.919, 225621.387, 13.64, -0.160405, , 
586600.306, 225574.935, 13.74, -0.164256, , 
586602.935, 225614.258, 13.84, -0.163874, , 
586932.435, 225650.710, 13.94, -0.164774, , 
586760.016, 225651.048, 14.04, -0.164109, , 
587241.742, 225710.935, 14.13, -0.165359, , 
587189.806, 225681.097, 14.23, -0.165458, , 
587554.048, 225674.452, 14.33, -0.166919, , 
587222.210, 225684.468, 14.43, -0.165548, , 
587846.306, 225765.403, 14.53, -0.167132, , 
587797.323, 225769.581, 14.63, -0.166903, , 
587861.419, 225795.629, 14.73, -0.166888, , 
587143.677, 225816.565, 14.83, -0.163930, , 
587707.629, 225803.371, 14.93, -0.166222, , 
586678.113, 225729.984, 15.03, -0.163008, , 
586813.387, 225734.468, 15.13, -0.163482, , 
586145.129, 225757.597, 15.23, -0.160688, , 
586020.242, 225756.452, 15.33, -0.160219, , 
585086.129, 225653.677, 15.43, -0.157654, , 
584795.065, 225714.484, 15.53, -0.155928, , 
584234.177, 225781.065, 15.63, -0.153105, , 
583452.597, 225879.468, 15.73, -0.149112, , 
582454.290, 225818.145, 15.83, -0.145869, , 
581306.645, 225815.984, 15.93, -0.141452, , 
580760.339, 225860.242, 16.03, -0.138895, , 
579212.274, 225804.419, 16.12, -0.133444, , 
578249.194, 225746.323, 16.22, -0.130278, , 
576044.355, 225715.258, 16.32, -0.121991, , 
575180.774, 225749.839, 16.42, -0.118270, , 
573606.968, 225753.161, 16.52, -0.112071, , 
572460.629, 225871.032, 16.62, -0.106394, , 
570834.323, 225946.742, 16.72, -0.099237, , 
568894.968, 225875.081, 16.82, -0.092293, 3, 0.795
567190.742, 225853.694, 16.92, -0.085754, , 
565682.758, 225777.258, 17.02, -0.080525, , 
563620.565, 225758.081, 17.12, -0.072497, , 
562445.242, 225811.968, 17.22, -0.067262, , 
560098.677, 225704.435, 17.32, -0.058925, , 
558756.677, 225719.242, 17.42, -0.053379, , 
556531.323, 225780.387, 17.52, -0.043789, , 
554007.081, 225721.226, 17.62, -0.034148, , 
551358.371, 225761.581, 17.72, -0.022961, , 
549108.258, 225739.548, 17.82, -0.013977, , 
546593.532, 225745.532, 17.92, -0.003588, , 
544380.032, 225730.806, 18.02, 0.005397, , 
541775.226, 225806.887, 18.12, 0.016950, , 
539050.210, 225831.194, 18.22, 0.028540, , 
536165.500, 225831.194, 18.31, 0.040615, , 
533091.081, 225831.194, 18.41, 0.053556, , 
529867.113, 225831.194, 18.52, 0.067208, , 
525883.419, 225831.194, 18.62, 0.084191, , 
523033.145, 225831.194, 18.72, 0.096421, , 
519662.710, 225734.774, 18.81, 0.110009, , 
516386.048, 225768.435, 18.92, 0.124579, , 
512814.839, 225698.645, 19.01, 0.139501, , 
509583.661, 225750.113, 19.11, 0.154239, , 
506458.210, 225796.500, 19.21, 0.168546, , 
503977.742, 225777.677, 19.31, 0.179408, , 
500994.516, 225780.710, 19.41, 0.192799, , 
498203.903, 225706.855, 19.51, 0.204633, , 
496134.597, 225784.758, 19.61, 0.214776, , 
493947.597, 225648.806, 19.71, 0.223363, , 
492563.548, 225691.371, 19.81, 0.230102, , 
491291.323, 225758.306, 19.91, 0.236589, , 
490093.855, 225742.968, 20.01, 0.241928, , 
488968.339, 225790.452, 20.11, 0.247576, , 
487715.661, 225742.806, 20.21, 0.252873, , 
486896.323, 225750.613, 20.31, 0.256735, , 
485433.452, 225697.887, 20.41, 0.262981, , 
483895.903, 225769.387, 20.51, 0.270833, , 
482978.887, 225783.355, 20.61, 0.275241, , 
481802.887, 225839.065, 20.71, 0.281283, , 
481301.968, 225982.290, 20.81, 0.285050, , 
480376.532, 225939.823, 20.90, 0.288959, , 
479514.145, 225848.548, 21.01, 0.292093, , 
478604.323, 225741.661, 21.10, 0.295302, , 
479192.113, 225733.016, 21.20, 0.292453, , 
479306.613, 225719.403, 21.30, 0.291780, , 
479758.097, 225719.210, 21.40, 0.289659, , 
481284.032, 225880.242, 21.50, 0.284118, , 
483087.258, 225907.935, 21.60, 0.275978, , 
485005.210, 225795.097, 21.70, 0.265936, , 
486438.516, 225778.387, 21.80, 0.259129, , 
488523.839, 225799.323, 21.90, 0.249711, , 
490287.323, 225775.532, 22.00, 0.241365, , 
492707.452, 225755.839, 22.10, 0.230087, , 
495186.839, 225808.645, 22.20, 0.219317, , 
496536.000, 225754.097, 22.30, 0.212651, , 
497781.887, 225790.210, 22.40, 0.207371, 4, 0.795
498967.161, 225844.097, 22.50, 0.202556, , 
499445.403, 225826.048, 22.60, 0.200220, , 
499023.032, 225806.774, 22.70, 0.201932, , 
498304.274, 225853.242, 22.80, 0.205639, , 
496995.935, 225899.581, 22.89, 0.212017, , 
494996.710, 225844.355, 22.99, 0.220537, , 
493613.355, 226044.274, 23.10, 0.228827, , 
491124.839, 225831.290, 23.20, 0.238079, , 
489519.903, 225819.500, 23.29, 0.245328, , 
487987.968, 225922.145, 23.39, 0.253404, , 
486886.661, 225925.258, 23.49, 0.258520, , 
486133.210, 225909.758, 23.59, 0.261851, , 
485925.871, 225940.903, 23.69, 0.263121, , 
486747.742, 225951.000, 23.79, 0.259419, , 
487281.016, 225944.581, 23.89, 0.256891, , 
488558.581, 225966.532, 23.99, 0.251217, , 
490652.613, 225973.065, 24.09, 0.241657, , 
492506.839, 225973.065, 24.19, 0.233168, , 
495071.935, 225916.871, 24.29, 0.220918, , 
498485.484, 225947.742, 24.39, 0.205762, , 
502199.532, 225962.000, 24.49, 0.189199, , 
507041.935, 226023.387, 24.59, 0.168214, , 
511533.758, 225905.242, 24.69, 0.147189, , 
516160.194, 225889.710, 24.79, 0.126772, , 
521028.355, 225936.226, 24.89, 0.106110, , 
527087.677, 226022.081, 24.99, 0.080945, , 
532406.694, 225961.290, 25.09, 0.057743, , 
537670.242, 225926.710, 25.19, 0.035260, , 
542890.871, 226017.419, 25.28, 0.014417, , 
547998.274, 225915.968, 25.38, -0.007666, , 
552100.823, 225920.210, 25.48, -0.024408, , 
555907.194, 225825.355, 25.59, -0.040816, , 
560246.403, 225900.274, 25.68, -0.057567, , 
562361.016, 225904.823, 25.78, -0.066000, , 
563539.387, 225846.839, 25.88, -0.071288, , 
563476.097, 225915.887, 25.98, -0.070347, , 
562811.887, 226208.048, 26.08, -0.064785, , 
558185.919, 226147.952, 26.18, -0.046809, , 
550620.355, 226199.113, 26.28, -0.015589, , 
537676.871, 226196.306, 26.38, 0.037916, , 
519163.968, 226143.452, 26.48, 0.116241, , 
491409.387, 226120.597, 26.58, 0.239657, , 
455986.677, 226133.419, 26.68, 0.408149, , 
411188.177, 225958.694, 26.78, 0.639133, , 
