FlowCell Text Data File: 250601-4-D2.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-06-01
Time: 20:46:40
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 551199
Source A Zero: 228011.0

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
551545.677, 222322.048, 0.00, -0.058275, , 
551126.194, 222322.048, 0.20, -0.056563, , 
549167.629, 222322.048, 0.30, -0.048551, , 
548126.694, 222390.774, 0.40, -0.043586, , 
549208.855, 222341.581, 0.50, -0.048522, , 
548858.903, 222387.984, 0.60, -0.046618, , 
549291.548, 222529.597, 0.70, -0.046959, , 
548817.145, 222544.145, 0.80, -0.044867, , 
548326.161, 222519.984, 0.90, -0.043097, , 
548704.532, 222627.903, 1.00, -0.043559, , 
548089.226, 222519.435, 1.10, -0.042130, , 
547839.919, 222515.403, 1.19, -0.041147, , 
547974.145, 222702.790, 1.29, -0.039804, , 
546483.597, 222622.871, 1.39, -0.034482, , 
547213.694, 222564.371, 1.49, -0.038078, , 
548078.016, 222666.613, 1.59, -0.040596, , 
547469.032, 222630.903, 1.69, -0.038455, , 
546386.097, 222562.032, 1.79, -0.034696, , 
545924.661, 222555.548, 1.89, -0.032860, , 
546089.613, 222518.677, 1.99, -0.033913, , 
546647.935, 222596.565, 2.09, -0.035425, , 
546328.742, 222598.161, 2.19, -0.034094, , 
545393.726, 222580.387, 2.29, -0.030419, , 
545423.710, 222482.984, 2.39, -0.031528, , 
545242.694, 222467.371, 2.49, -0.030939, , 
545521.758, 222476.065, 2.59, -0.032002, , 
545687.065, 222399.242, 2.69, -0.033461, , 
525904.000, 222372.323, 2.79, 0.049368, , 
507668.581, 222341.065, 2.89, 0.128469, , 
165058.274, 221579.387, 2.99, 2.649179, , 
98292.226, 221411.984, 3.08, 3.813999, , 
98950.823, 221388.645, 3.18, 3.798734, , 
99375.387, 221324.919, 3.28, 3.788451, , 
99299.806, 221469.710, 3.38, 3.791635, , 
98664.581, 221387.290, 3.48, 3.805239, , 
98052.468, 221365.016, 3.58, 3.819018, , 
97053.355, 221484.774, 3.68, 3.843284, , 
95834.855, 221464.258, 3.78, 3.871508, , 
94323.403, 221397.194, 3.88, 3.906602, , 
92613.855, 221416.839, 3.98, 3.947964, , 
90892.065, 221447.065, 4.08, 3.990503, , 
89548.774, 221520.726, 4.18, 4.024758, , 
88029.758, 221340.145, 4.28, 4.061425, , 
86534.306, 221332.226, 4.38, 4.099903, , 
85250.629, 221331.581, 4.48, 4.133530, , 
83890.565, 221402.742, 4.58, 4.170446, , 
82591.742, 221439.177, 4.68, 4.205931, , 
81395.484, 221398.774, 4.78, 4.238354, , 
80371.452, 221375.145, 4.88, 4.266606, , 
79116.726, 221443.839, 4.98, 4.302714, , 
77576.903, 221452.161, 5.08, 4.347030, , 
75563.661, 221393.774, 5.18, 4.405610, , 
72804.403, 221418.516, 5.27, 4.489576, , 
69727.161, 221339.984, 5.37, 4.585966, , 
66528.629, 221444.613, 5.47, 4.692704, , 
62745.355, 221390.790, 5.57, 4.823915, , 
59638.371, 221353.048, 5.67, 4.937821, 1, 0.795
56510.226, 221345.935, 5.77, 5.058997, , 
53449.435, 221327.935, 5.87, 5.184130, , 
50393.258, 221384.952, 5.97, 5.317213, , 
47820.242, 221370.081, 6.07, 5.435003, , 
45155.274, 221382.113, 6.17, 5.564170, , 
42757.403, 221385.694, 6.27, 5.687000, , 
40709.532, 221360.694, 6.37, 5.797198, , 
38825.226, 221432.774, 6.47, 5.904583, , 
37100.065, 221340.355, 6.57, 6.005930, , 
35714.629, 221443.403, 6.67, 6.092625, , 
34468.226, 221387.242, 6.77, 6.171995, , 
33378.323, 221361.661, 6.87, 6.244044, , 
32433.935, 221454.452, 6.97, 6.309578, , 
31709.048, 221496.097, 7.07, 6.360868, , 
31134.210, 221496.097, 7.16, 6.402040, , 
30627.935, 221496.097, 7.27, 6.438935, , 
30314.968, 221496.097, 7.36, 6.462049, , 
30067.032, 221496.097, 7.46, 6.480530, , 
29990.355, 221496.097, 7.56, 6.486277, , 
30053.597, 221475.468, 7.66, 6.481326, , 
30271.548, 221477.339, 7.76, 6.465084, , 
30613.387, 221558.032, 7.86, 6.440633, , 
31078.903, 221452.677, 7.96, 6.405600, , 
31698.371, 221451.435, 8.06, 6.361172, , 
32497.242, 221368.516, 8.16, 6.304316, , 
33413.419, 221317.855, 8.26, 6.241234, , 
34594.306, 221415.290, 8.36, 6.164063, , 
35947.339, 221530.306, 8.46, 6.078892, , 
37488.758, 221506.984, 8.56, 5.984168, , 
39212.516, 221444.661, 8.66, 5.882367, , 
41248.129, 221502.855, 8.76, 5.769064, , 
43583.581, 221550.306, 8.86, 5.645604, , 
45759.548, 221505.032, 8.96, 5.535503, , 
48539.435, 221477.371, 9.06, 5.402500, , 
51700.016, 221510.677, 9.16, 5.260878, , 
55139.516, 221433.581, 9.25, 5.115147, , 
58872.194, 221425.403, 9.35, 4.967655, , 
63142.339, 221444.258, 9.45, 4.810265, , 
67447.226, 221488.210, 9.55, 4.662287, , 
72435.613, 221430.097, 9.65, 4.501122, , 
77911.081, 221506.516, 9.75, 4.337909, , 
83617.581, 221506.065, 9.85, 4.178831, , 
89621.516, 221473.887, 9.95, 4.022455, , 
96303.387, 221460.855, 10.05, 3.860498, , 
103466.306, 221483.661, 10.15, 3.699278, , 
111136.419, 221521.613, 10.25, 3.538730, , 
119449.677, 221417.871, 10.35, 3.375336, , 
127582.081, 221419.097, 10.45, 3.227124, , 
136543.339, 221465.484, 10.55, 3.074832, , 
146109.226, 221449.306, 10.65, 2.922285, , 
156169.774, 221472.339, 10.75, 2.772664, , 
165510.516, 221547.565, 10.85, 2.642698, , 
175412.145, 221569.274, 10.95, 2.512160, , 
185821.500, 221550.919, 11.05, 2.382240, , 
196331.210, 221593.548, 11.15, 2.258862, , 
207215.645, 221677.742, 11.24, 2.138290, 2, 0.794
