FlowCell Text Data File: 250601-6-F2.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-06-01
Time: 21:07:42
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 551199
Source A Zero: 228011.0

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
498327.661, 224694.984, 0.00, 0.193962, , 
499513.597, 224694.984, 0.20, 0.188613, , 
498725.774, 224751.532, 0.30, 0.192731, , 
498556.435, 224791.935, 0.40, 0.193900, , 
499971.242, 224642.032, 0.50, 0.186022, , 
498521.161, 224612.113, 0.60, 0.192258, , 
499078.032, 224627.306, 0.70, 0.189898, , 
500086.710, 224795.032, 0.80, 0.187034, , 
498922.452, 224648.935, 0.90, 0.190817, , 
498276.194, 224598.290, 0.99, 0.193226, , 
500092.016, 224631.097, 1.09, 0.185369, , 
498426.032, 224478.726, 1.19, 0.191351, , 
500385.968, 224582.548, 1.29, 0.183560, , 
498431.274, 224620.226, 1.39, 0.192745, , 
498530.081, 224566.323, 1.49, 0.191759, , 
499542.774, 224544.065, 1.59, 0.186969, , 
498847.339, 224560.016, 1.69, 0.190264, , 
499615.597, 224500.000, 1.79, 0.186200, , 
499241.484, 224629.629, 1.89, 0.189185, , 
498663.839, 224465.129, 1.99, 0.190141, , 
498856.887, 224568.806, 2.09, 0.190309, , 
500177.871, 224669.452, 2.19, 0.185366, , 
498763.774, 224650.968, 2.29, 0.191553, , 
500419.887, 224641.952, 2.39, 0.184002, , 
499178.290, 224641.371, 2.49, 0.189587, , 
500109.403, 224657.984, 2.59, 0.185560, , 
499475.629, 224574.210, 2.69, 0.187574, , 
500335.016, 224662.129, 2.79, 0.184586, , 
498209.435, 224597.290, 2.89, 0.193518, , 
495971.726, 224639.758, 2.99, 0.204074, , 
389216.081, 224206.823, 3.08, 0.745202, , 
41676.339, 223571.565, 3.18, 5.766742, , 
38727.694, 223550.323, 3.28, 5.931662, , 
38447.677, 223478.597, 3.38, 5.947271, , 
38154.726, 223395.177, 3.48, 5.963643, , 
37751.548, 223384.355, 3.58, 5.987441, , 
37317.887, 223372.565, 3.68, 6.013323, , 
36778.000, 223437.016, 3.78, 6.046768, , 
36206.903, 223395.661, 3.88, 6.081571, , 
35501.242, 223349.032, 3.98, 6.125394, , 
35018.258, 223454.371, 4.08, 6.157282, , 
34480.935, 223555.613, 4.18, 6.193100, , 
33898.903, 223560.452, 4.28, 6.231460, , 
33380.516, 223589.113, 4.38, 6.266428, , 
32721.371, 223463.403, 4.48, 6.310045, , 
32307.306, 223428.823, 4.58, 6.338356, , 
31932.871, 223518.113, 4.68, 6.365490, , 
31499.000, 223462.613, 4.78, 6.395717, , 
31077.435, 223427.968, 4.88, 6.425690, , 
30647.581, 223429.468, 4.98, 6.457050, , 
30328.871, 223399.419, 5.07, 6.480273, , 
30020.290, 223330.565, 5.17, 6.502593, , 
29750.839, 223280.871, 5.27, 6.522383, , 
29225.145, 223323.403, 5.37, 6.562932, , 
28504.516, 223295.371, 5.47, 6.618836, , 
27753.774, 223254.226, 5.57, 6.678487, , 
27186.871, 223278.629, 5.67, 6.725176, 1, 0.795
26805.258, 223317.500, 5.77, 6.757381, , 
26581.323, 223394.242, 5.87, 6.777033, , 
26426.355, 223337.242, 5.97, 6.789617, , 
26536.177, 223338.016, 6.07, 6.780292, , 
26706.500, 223370.887, 6.17, 6.766225, , 
27081.532, 223320.097, 6.27, 6.734331, , 
27558.065, 223319.597, 6.37, 6.695071, , 
28173.016, 223344.113, 6.47, 6.645652, , 
28920.903, 223333.871, 6.57, 6.586588, , 
29832.016, 223250.435, 6.67, 6.515944, , 
30830.226, 223245.081, 6.77, 6.441820, , 
32043.145, 223329.532, 6.87, 6.355832, , 
33480.823, 223325.129, 6.97, 6.257017, , 
35056.855, 223284.016, 7.06, 6.153087, , 
36751.613, 223284.016, 7.16, 6.046842, , 
38832.371, 223284.016, 7.26, 5.922905, , 
40991.484, 223284.016, 7.37, 5.801134, , 
43540.048, 223284.016, 7.47, 5.665395, , 
46246.435, 223284.016, 7.57, 5.529686, , 
49203.645, 223340.935, 7.67, 5.390771, , 
52513.274, 223447.177, 7.77, 5.245341, , 
56507.113, 223432.887, 7.87, 5.080239, , 
60451.645, 223389.145, 7.96, 4.927945, , 
64676.919, 223442.306, 8.06, 4.776440, , 
69533.194, 223325.661, 8.16, 4.612334, , 
74952.435, 223392.565, 8.26, 4.444114, , 
80664.016, 223392.613, 8.36, 4.278845, , 
86820.855, 223343.210, 8.46, 4.112818, , 
93545.629, 223370.048, 8.56, 3.945200, , 
100616.710, 223329.113, 8.66, 3.780801, , 
108046.435, 223402.274, 8.76, 3.621211, , 
116951.355, 223480.565, 8.86, 3.443772, , 
124600.887, 223406.597, 8.96, 3.300444, , 
133817.210, 223398.919, 9.06, 3.139778, , 
143098.194, 223383.790, 9.16, 2.988720, , 
153297.194, 223369.919, 9.26, 2.833644, , 
162694.468, 223418.726, 9.36, 2.700244, , 
173980.597, 223390.016, 9.46, 2.549019, , 
183720.113, 223431.516, 9.56, 2.426856, , 
194475.661, 223340.145, 9.66, 2.297901, , 
206094.097, 223353.032, 9.76, 2.167447, , 
216618.677, 223338.210, 9.86, 2.055213, , 
226875.403, 223366.226, 9.96, 1.951385, , 
237464.935, 223359.790, 10.05, 1.848658, , 
248767.887, 223380.081, 10.15, 1.744216, , 
259731.323, 223410.290, 10.25, 1.647465, , 
271025.790, 223419.661, 10.35, 1.551767, , 
281684.145, 223361.855, 10.45, 1.464380, , 
292862.210, 223490.048, 10.55, 1.378093, , 
303638.984, 223439.226, 10.65, 1.296257, , 
315390.145, 223432.048, 10.75, 1.210733, , 
326348.452, 223515.742, 10.85, 1.134712, , 
336067.806, 223368.452, 10.95, 1.067184, , 
346268.774, 223503.306, 11.05, 1.001249, , 
356596.177, 223593.694, 11.15, 0.936022, , 
368014.887, 223576.065, 11.25, 0.864912, 2, 0.795
378546.935, 223507.532, 11.35, 0.800722, , 
388556.548, 223525.661, 11.45, 0.742172, , 
398547.323, 223588.323, 11.55, 0.685669, , 
409009.887, 223486.081, 11.65, 0.626324, , 
419434.565, 223645.371, 11.75, 0.571288, , 
428501.565, 223611.016, 11.85, 0.522813, , 
437853.452, 223691.468, 11.95, 0.475036, , 
445818.532, 223581.371, 12.04, 0.433358, , 
454571.823, 223678.758, 12.14, 0.390580, , 
461659.903, 223589.000, 12.24, 0.354857, , 
469940.710, 223676.403, 12.34, 0.315728, , 
476733.371, 223718.935, 12.44, 0.283861, , 
481825.306, 223606.565, 12.54, 0.258821, , 
488757.016, 223664.032, 12.64, 0.227254, , 
494317.710, 223664.032, 12.74, 0.201795, , 
499350.194, 223664.032, 12.84, 0.179000, , 
503443.645, 223664.032, 12.94, 0.160627, , 
508348.161, 223664.032, 13.04, 0.138810, , 
510511.823, 223664.032, 13.14, 0.129251, , 
515513.839, 223798.355, 13.24, 0.108660, , 
517671.274, 223868.306, 13.34, 0.099965, , 
520336.484, 223854.177, 13.44, 0.088266, , 
521868.032, 223777.532, 13.54, 0.080881, , 
524395.016, 223775.161, 13.64, 0.069987, , 
526217.548, 223763.710, 13.74, 0.062064, , 
527234.258, 223912.145, 13.84, 0.059212, , 
528223.500, 223979.516, 13.94, 0.055671, , 
529193.371, 223991.677, 14.04, 0.051665, , 
529510.403, 223897.613, 14.14, 0.049372, , 
530533.677, 223966.919, 14.24, 0.045724, , 
530995.484, 223949.500, 14.34, 0.043590, , 
530952.629, 223953.419, 14.44, 0.043811, , 
530556.323, 223871.532, 14.54, 0.044669, , 
530859.661, 223889.484, 14.63, 0.043563, , 
530342.710, 223895.097, 14.73, 0.045812, , 
530365.742, 223891.145, 14.83, 0.045674, , 
529803.194, 223894.774, 14.93, 0.048099, , 
528621.532, 223914.548, 15.03, 0.053323, , 
528428.855, 223817.210, 15.13, 0.053165, , 
