User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,Test run no.: 294
Test name: FRET_549_646,Date: 3/20/2025,Time: 12:09:50 PM

Fluorescence (FI), multichromatic


A01
X1 Raw Data (Well scan) 550-10/590-10
1602,1629,1611
1638,1572,1547
1603,1603,1600

A02
X1 Raw Data (Well scan) 550-10/590-10
1870,1736,1622
1942,1953,1870
1642,1472,1613

A03
X2 Raw Data (Well scan) 550-10/590-10
1198,1107,1019
1088,1098,1049
1100,1002,1073

A04
X2 Raw Data (Well scan) 550-10/590-10
1373,1373,1246
1385,1313,1235
1312,1320,1303

A05
X3 Raw Data (Well scan) 550-10/590-10
1389,1439,1455
1404,1369,1328
1318,1413,1422

A06
X3 Raw Data (Well scan) 550-10/590-10
1046,1121,1155
1059,1115,1107
960,994,1044

A07
X4 Raw Data (Well scan) 550-10/590-10
1723,1651,1659
1625,1765,1678
1665,1684,1684

A08
X4 Raw Data (Well scan) 550-10/590-10
1434,1449,1382
1512,1371,1376
1420,1478,1350

A09
X5 Raw Data (Well scan) 550-10/590-10
930,885,896
927,887,946
958,879,966

A10
X5 Raw Data (Well scan) 550-10/590-10
1490,1454,1482
1517,1520,1559
1389,1597,1447

A11
C1 Raw Data (Well scan) 550-10/590-10
940,922,946
984,1000,1003
1017,1093,953

A12
C5 Raw Data (Well scan) 550-10/590-10
950,984,1042
941,1060,959
955,970,1011

B01
X6 Raw Data (Well scan) 550-10/590-10
1340,1337,1350
1279,1368,1286
1479,1312,1359

B02
X6 Raw Data (Well scan) 550-10/590-10
1698,1669,1636
1812,1739,1646
1602,1583,1715

B03
X7 Raw Data (Well scan) 550-10/590-10
951,1035,992
1028,1140,1090
1490,1331,1276

B04
X7 Raw Data (Well scan) 550-10/590-10
1433,1581,1489
1592,1513,1503
1578,1623,1699

B05
X8 Raw Data (Well scan) 550-10/590-10
2063,2116,1919
2090,2192,2172
1985,1972,2127

B06
X8 Raw Data (Well scan) 550-10/590-10
1072,1033,937
995,889,881
1030,1053,946

B07
X9 Raw Data (Well scan) 550-10/590-10
1826,1603,1622
1675,1627,1566
1806,1675,1837

B08
X9 Raw Data (Well scan) 550-10/590-10
1595,1531,1580
1578,1499,1601
1604,1478,1589

B09
X10 Raw Data (Well scan) 550-10/590-10
1019,967,1009
1210,1089,1147
1671,1538,1235

B10
X10 Raw Data (Well scan) 550-10/590-10
1534,1434,1481
1996,1961,1554
1617,1559,1555

B11
C1 Raw Data (Well scan) 550-10/590-10
971,953,944
977,993,996
1009,1006,1077

B12
C5 Raw Data (Well scan) 550-10/590-10
982,885,942
1421,1038,1000
1797,1548,1712

C01
X11 Raw Data (Well scan) 550-10/590-10
1915,1829,1800
1734,1765,1933
1795,1762,1692

C02
X11 Raw Data (Well scan) 550-10/590-10
1644,1667,1755
1654,1724,1736
1616,1731,1725

C03
X12 Raw Data (Well scan) 550-10/590-10
1320,1239,1260
1255,1228,1349
1316,1215,1219

C04
X12 Raw Data (Well scan) 550-10/590-10
1527,1467,1347
1508,1594,1377
1443,1400,1508

C05
X13 Raw Data (Well scan) 550-10/590-10
1563,1596,1512
1551,1501,1535
1493,1445,1489

C06
X13 Raw Data (Well scan) 550-10/590-10
1215,1223,1222
1277,1151,1154
1188,1083,1067

C07
X14 Raw Data (Well scan) 550-10/590-10
1666,1465,1623
1701,1574,1600
1539,1540,1513

C08
X14 Raw Data (Well scan) 550-10/590-10
1794,1717,1775
1827,1652,1691
1759,1761,1759

C09
X15 Raw Data (Well scan) 550-10/590-10
1292,1234,1213
1219,1146,1264
1174,1176,1140

C10
X15 Raw Data (Well scan) 550-10/590-10
1641,1648,1599
1635,1572,1573
1535,1574,1525

C11
C2 Raw Data (Well scan) 550-10/590-10
1188,1122,1104
1191,1160,1165
1124,1158,1086

C12
C6 Raw Data (Well scan) 550-10/590-10
1203,1170,1222
1264,1514,1328
1097,1238,1137

D01
X16 Raw Data (Well scan) 550-10/590-10
1351,1415,1479
1441,1418,1439
1395,1507,1353

D02
X16 Raw Data (Well scan) 550-10/590-10
1861,1993,1869
1904,1812,1782
1904,1848,1827

D03
X17 Raw Data (Well scan) 550-10/590-10
1271,1286,1317
1289,1320,1277
1282,1262,1164

D04
X17 Raw Data (Well scan) 550-10/590-10
1598,1609,1682
1718,1632,1637
1696,1629,1724

D05
X18 Raw Data (Well scan) 550-10/590-10
1748,1579,1659
1698,1580,1674
1556,1706,1565

D06
X18 Raw Data (Well scan) 550-10/590-10
1215,1147,1247
1157,1251,1278
1203,1162,1241

D07
X19 Raw Data (Well scan) 550-10/590-10
1781,1730,1730
