Filename,Well,Channel,Value
25-04-27_NL_384_19-51-31.CSV,B02,Raw Data (470-80),502.0
25-04-27_NL_384_19-51-31.CSV,B04,Raw Data (470-80),1212.0
25-04-27_NL_384_19-51-31.CSV,B06,Raw Data (470-80),1845.0
25-04-27_NL_384_19-51-31.CSV,B08,Raw Data (470-80),1083.0
25-04-27_NL_384_19-51-31.CSV,B10,Raw Data (470-80),8595.0
25-04-27_NL_384_19-51-31.CSV,B12,Raw Data (470-80),7651.0
25-04-27_NL_384_19-51-31.CSV,B14,Raw Data (470-80),10084.0
25-04-27_NL_384_19-51-31.CSV,B16,Raw Data (470-80),3074.0
25-04-27_NL_384_19-51-31.CSV,B18,Raw Data (470-80),5178.0
25-04-27_NL_384_19-51-31.CSV,B20,Raw Data (470-80),66759.0
25-04-27_NL_384_19-51-31.CSV,C02,Raw Data (470-80),6126.0
25-04-27_NL_384_19-51-31.CSV,C04,Raw Data (470-80),2048.0
25-04-27_NL_384_19-51-31.CSV,C06,Raw Data (470-80),419.0
25-04-27_NL_384_19-51-31.CSV,C08,Raw Data (470-80),825.0
25-04-27_NL_384_19-51-31.CSV,C10,Raw Data (470-80),11851.0
25-04-27_NL_384_19-51-31.CSV,C12,Raw Data (470-80),7166.0
25-04-27_NL_384_19-51-31.CSV,C14,Raw Data (470-80),11189.0
25-04-27_NL_384_19-51-31.CSV,C16,Raw Data (470-80),2958.0
25-04-27_NL_384_19-51-31.CSV,C18,Raw Data (470-80),13913.0
25-04-27_NL_384_19-51-31.CSV,C20,Raw Data (470-80),108040.0
25-04-27_NL_384_19-51-31.CSV,D02,Raw Data (470-80),2286.0
25-04-27_NL_384_19-51-31.CSV,D04,Raw Data (470-80),978.0
25-04-27_NL_384_19-51-31.CSV,D06,Raw Data (470-80),714.0
25-04-27_NL_384_19-51-31.CSV,D08,Raw Data (470-80),887.0
25-04-27_NL_384_19-51-31.CSV,D10,Raw Data (470-80),10223.0
25-04-27_NL_384_19-51-31.CSV,D12,Raw Data (470-80),6732.0
25-04-27_NL_384_19-51-31.CSV,D14,Raw Data (470-80),9080.0
25-04-27_NL_384_19-51-31.CSV,D16,Raw Data (470-80),2165.0
25-04-27_NL_384_19-51-31.CSV,D18,Raw Data (470-80),5422.0
